Class Session Code,Subject Area,Course Catalog Number,Class Number,Course Component Short Description,Class Start Date,End Date,Instruction Mode Description,Facility ID,Start Time,End Time,Derived Meeting Pattern,Instructor Name,Instructor Role Description
1,EDUC-K,343,27068,Lecture,1/12/2026,5/8/2026,76-99% Online Interactive,KOWBWEB,6:45:00 PM,8:30:00 PM,R,"Wilburn,Marcee M.",Primary Instructor
1,EDUC-K,344,35174,Lecture,1/12/2026,5/8/2026,In Person,KOMN104,1:00:00 PM,3:45:00 PM,R,"Mihai,Alina",Primary Instructor
8W2,EDUC-K,352,27069,Methods,3/9/2026,5/8/2026,Hybrid-On Campus & Online,KOMN104,6:30:00 PM,8:15:00 PM,M,"Beyioku,Cheryl",Primary Instructor
1,EDUC-K,362,27067,Lecture,1/12/2026,5/8/2026,76-99% Online Interactive,KOWBWEB,5:00:00 PM,6:44:00 PM,R,"Stayer,Leah N",Primary Instructor
1,EDUC-K,488,27175,Practicum,1/12/2026,5/8/2026,In Person, , , , ,"Marler,Dee Richard",Primary Instructor
1,EDUC-L,403,33537,Lecture,1/12/2026,5/10/2026,Hybrid-Distance Video & Online,OLONLINE,3:15:00 PM,5:55:00 PM,T,"Liu,Laura Blythe",Primary Instructor
1,EDUC-L,441,30593,Lecture,1/12/2026,5/10/2026,Hybrid-Distance Video & Online,OLONLINE,6:00:00 PM,8:40:00 PM,T,"Liu,Laura Blythe",Primary Instructor
1,EDUC-M,300,26762,Lecture,1/12/2026,5/8/2026,In Person,KOMN206,11:30:00 AM,12:45:00 PM,TR,"Newman,Ryan Scott",Primary Instructor
8W2,EDUC-M,324,27354,Lecture,3/9/2026,5/8/2026,Hybrid-On Campus & Online,KOMN176,4:30:00 PM,7:15:00 PM,M,"Hankins,Amber",Primary Instructor
1,EDUC-M,423,27014,Practicum,1/12/2026,5/8/2026,In Person,KOOCOC, , , ,"Marler,Dee Richard",Primary Instructor
1,EDUC-M,425,26726,Practicum,1/12/2026,5/8/2026,In Person,KOOCOC, , , ,"Marler,Dee Richard",Primary Instructor
1,EDUC-M,425,26761,Practicum,1/12/2026,5/8/2026,In Person,KOOCOC, , , ,"Marler,Dee Richard",Primary Instructor
1,EDUC-M,440,26966,Lecture,1/12/2026,5/8/2026,Hybrid-On Campus & Online,KOMN103,5:00:00 PM,7:00:00 PM,M,"Grubb,Sarrah Jean",Primary Instructor
